price in aud,brand,model number,made in,warranty,available colors,body type,engine type,engine power,torque,no. of cylinders,transmission type,drive type,gear box,steering type,minimum turning radius,front suspension,back suspension,length,width,height,wheel base,ground clearance,kerb weight,tyre size,wheel size,front brake,rear brake,mileage in city,mileage on highway,fuel type,seating capacity,fuel tank capacity (litres),no. of doors,air conditioner,heater,antilock braking system,central locking,power steering,power windows,anti-lock braking,brake assist,power door locks,rear seat belts,seat belt warning,door ajar warning,adjustable seats,engine immobilizer,crash sensor,engine check warning,rear camera,anti-theft device,touch screen,audio system remote control,speakers front & back,bluetooth connectivity,usb & auxiliary input,adjustable steering column,height adjustable driving seat,digital clock,outside temperature display,smoke headlamps,electric folding rear view mirror,automatic climate control,low fuel warning light,rear reading lamp,bottle holder,voice control,steering gear type,child safety locks,night rear view mirror,vehicle stability control system,parking sensors,radio,fog lights front & back,keyless entry,centrally mounted fuel tank,leather seats,electric adjustable seats,charger,maximum speed,acceleration time (0-100 kmph),dvd player,boot space,tyre pressure monitor,smart access card entry,fuel system,tyre type,cd player,xenon headlamps,displacement (cc),halogen headlamps,assembled in,cassette player,shock absorbers type,valve configuration,removable/convertible top,introduction date
"41,602",Honda,hr-v sport awd 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, milano red, nordic forest pearl, platinum white pearl, and urban gray pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),all-wheel drive,,power,37.1 ft,strut,multi-link,179.8 in,72.4 in,63.8 in,104.5 in,,,p225/55hr18,18 in x 7.5 in aluminum wheels,discs,discs,25 city,30 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,
"35,784",Honda,hr-v lx awd 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, modern steel metallic, and platinum white pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),all-wheel drive,,power,35.1 ft,strut,multi-link,179.8 in,72.4 in,63.4 in,104.5 in,,,p215/60hr17,17 in x 7.5 in aluminum wheels,discs,discs,25 city,30 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,,yes,yes,,yes,,,,,,,,,,,,,,,,,,,
"39,600",Honda,civic si sedan with summer tires 2022,japan,"3 years / 36,000 miles basic, 5 years / unlimited miles corrosion, 5 years / 60,000 miles drivetrain, 3 years / 36,000 miles roadside assistance warranty.","aegean blue metallic, crystal black pearl, rallye red, blazing orange pearl, platinum white pearl, and sonic gray pearl.",sedan,1.5l turbo inline-4 gas,200 hp @ 6000 rpm,192 lb-ft @ 1800 rpm,4,manual,front-wheel drive,6-speed,power,38.1 ft,strut,multi-link,184 in,70.9 in,55.5 in,107.7 in,,"2,952 lbs",p235/40wr18,18 in x 8 in aluminum wheels,discs,discs,27 mpg,37 mpg,premium,5 seater,12.4 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,,yes,yes,yes,,rack-pinion,yes,,,yes,yes,,yes,,,,yes,148 mph,0-60 mph in 7.1 seconds,yes,,,,,,,,,,,,,,,
"41,155",Honda,accord sport 1.5t cvt 2022,japan,"basic: 3 years / 36000 miles , corrosion: 5 years / unlimited miles , drivetrain: 5 years / 60000 miles , and roadside assistance: 3 years / 36000 miles","crystal black pearl, lunar silver metallic, modern steel metallic, platinum white pearl, and radiant red metallic",sedan,1.5l turbo inline-4 gas,192 hp @ 5500 rpm,192 hp @ 5500 rpm,4-cylinder,continuously variable automatic (cvt),front-wheel drive,,power,38.3 ft,strut,multi-link,196.1 in,73.3 in,57.1 in,111.4 in,5.8 in,"3,223 lbs",p235/40vr19,19 in x 8.5 in aluminium wheels,discs,discs,29 mpg,35 mpg,gasoline,5 seats,14.8 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,rack and pinion,yes,,yes,yes,,,,,,,turbo,125 mph,0-60 mph in 6.7 seconds,,,,,,,,,,,,,,,,
"22,349",Honda,fit sport 2022,japan,"basic: 3 years / 36,000 miles, 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , and 3 years / 36,000 miles roadside assistance warranty",custom,hatchback,1.5l inline-4 gas,130 at 6600 rpm,114 at 4600 rpm,4 cylinders,manual continuously variable automatic (cvt),front wheel drive,6-speed,power,38.1 ft,strut,torsion beam,161.4 in,67 in,60 in,99.6 in,4.4 in,"2,553 lbs",p185/55hr16,16 inches,discs,discs,29 mpg,36 mpg,petrol,5 seaters,10.6 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,,,,,,,yes,185 km/h,0-100 km/h in 5.9 seconds,,409 l,,,,,,,,,,,,,,
"27,302",Honda,fit ex 2022,japan,"basic: 3 years / 36,000 miles, 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , and 3 years / 36,000 miles roadside assistance warranty",custom,hatchback,1.5l inline-4 gas,128 at 6600 rpm,113 at 4600 rpm,4 cylinders,manual continuously variable automatic (cvt),front wheel drive,6-speed,power,38.1 ft,strut,torsion beam,161.4 in,67 in,60 in,99.6 in,4.4 in,"2,644 lbs",p185/55hr16,16 inches,discs,discs,31 mpg,36 mpg,petrol,5 seaters,10.6 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,,,,,,,yes,185 km/h,0-100 km/h in 5.9 seconds,,409 l,,,,,,,,,,,,,,
"23,314",Honda,fit lx 2022,japan,"basic: 3 years / 36,000 miles, 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , and 3 years / 36,000 miles roadside assistance warranty",custom,hatchback,1.5l inline-4 gas,130 at 6600 rpm,114 at 4600 rpm,4 cylinders,manual continuously variable automatic (cvt),front wheel drive,6-speed,power,38.1 ft,strut,torsion beam,161.4 in,67 in,60 in,99.6 in,4.4 in,"2,522 lbs",p185/60tr15,15 inches,discs,discs,29 mpg,36 mpg,petrol,5 seaters,10.6 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,,,,,,,yes,185 km/h,0-100 km/h in 5.9 seconds,,,,,,,,,,,,,,,,
"31,493",Honda,hr v ex l 2022,japan,"basic: 3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","aegean blue metallic, crystal black pearl, lunar silver metallic, milano red, modern steel metallic, and platinum white pearl",suv,1.8l inline-4 gas,141 hp @ 6500 rpm,127 lb-ft @ 4300 rpm,4 cylinder,continuously variable automatic (cvt),all-wheel drive,tbc-speed,power,37.4 ft,strut,torsion beam,170.9 in,70.5 in,63.2 in,102.8 in,5.4 in,"2,974 lbs",p215/55vr17,17 in x 7.5 in,discs,discs,28 mpg,34 mpg,gasoline,5 seater,13.2 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,,rack-pinion,yes,,yes,yes,,,,,,,turbo,195 km/h,0-100 km/h in 9.5 seconds,,,,,,,,,,,,,,,,
"57,557",Honda,passport ex-l awd 2022,japan,"3 years / 36000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60000 miles drivetrain , 3 years / 36000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, modern steel metallic, obsidian blue pearl, black copper pearl, deep scarlet pearl, and platinum white pearl.",suv,3.5-liter v6 gas,280 hp @ 6000 rpm,262 lb-ft @ 4700 rpm,,automatic,all-wheel drive,9-speed,power,39.3 ft,strut,multi-link,189.1 in,78.6 in,72.2 in,111 in,,"4,236 lbs",p245/50hr20,20 in x 8 in aluminum wheels,discs,discs,19 city,24 hwy,gasoline,5 seater,19.5 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,yes,yes,yes,yes,,rack-pinion,yes,,,yes,,,yes,,,,,222 km/h,0-100 km/h in 6.3 seconds,,,,,,,,,,,,,,,,
"41,314",Honda,hr-v ex-l 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, milano red, modern steel metallic, nordic forest pearl, and platinum white pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,35.1 ft,strut,multi-link,179.8 in,72.4 in,63.4 in,104.5 in,,,p215/60hr17,17 in x 7.5 in aluminum wheels,discs,discs,26 city,32 hwy,gasoline,5 seater,14.8 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,
"38,261",Honda,hr-v ex-l 2022,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","aegean blue metallic, crystal black pearl, lunar silver metallic, modern steel metallic, midnight amethyst metallic, and platinum white pearl.",suv,1.8-liter inline-4 gas,141 hp @ 6500 rpm,127 lb-ft @ 4300 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,37.4 ft,strut,torsion beam,170.4 in,69.8 in,63.2 in,102.8 in,5.4 in,"2,974 lbs",p215/55vr17,17 in x 7.5 in aluminum wheels,discs,discs,28 city,34 hwy,petrol,5 seater,13.2 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,
"36,101",Honda,hr-v ex-l 2022,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","aegean blue metallic, crystal black pearl, lunar silver metallic, modern steel metallic, midnight amethyst metallic, and platinum white pearl.",suv,1.8l inline-4 gas,141 hp @ 6500 rpm,127 lb-ft @ 4300 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,37.4 ft,strut,torsion beam,170.4 in,69.8 in,63.2 in,102.8 in,5.4 in,"2,959 lbs",p215/55vr17,17 in x 7.5 in aluminum wheels,discs,discs,28 city,34 hwy,petrol,5 seater,13.2 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,yes,yes,yes,,,,186 km/h,0-100 km/h in 9.5 seconds,,,,,,,,,,,,,,,,
"34,056",Honda,hr-v 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, modern steel metallic, and platinum white pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,35.1 ft,strut,torsion beam,179.8 in,72.4 in,63.4 in,104.5 in,,,p215/60hr17,17 in x 7.5 in aluminum wheels,discs,discs,26 city,32 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,
"38,722",Honda,hr-v sport 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, milano red, nordic forest pearl, platinum white pearl, and urban gray pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,37.1 ft,strut,multi-link,179.8 in,72.4 in,63.8 in,104.5 in,,,p225/55hr18,18 in x 7.5 in aluminum wheels,discs,discs,26 city,32 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,
"36,461",Honda,hr-v sport awd 2022,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","aegean blue metallic, crystal black pearl, lunar silver metallic, milano red, modern steel metallic, and platinum white pearl.",suv,1.8l inline-4 gas,141 hp @ 6500 rpm,127 lb-ft @ 4300 rpm,4,continuously variable automatic (cvt),all-wheel drive,,power,37.4 ft,strut,torsion beam,170.9 in,70.5 in,63.2 in,102.8 in,5.4 in,"3,096 lbs",p225/50vr18,18 in x 7.5 in aluminum wheels,discs,discs,26 city,31 hwy,gasoline,5 seater,13.2 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,
